,Initialization,lambda,Repeat,Num Obs,Obs Dim,centroids_prior_cov_prefactor,likelihood_cov_prefactor,Num True Clusters,Runtime,Num Iter Till Convergence,Num Initial Clusters,Num Inferred Clusters,Loss,Rand Score,Adjusted Rand Score,Adjusted Mutual Info Score,Normalized Mutual Info Score
318,dp-means++,0.007943282347242814,7,1000,13,10.0,1.0,10,7.191988378763199,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
319,dp-means++,0.015848931924611134,7,1000,13,10.0,1.0,10,7.141511935740709,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
320,dp-means++,0.03162277660168379,7,1000,13,10.0,1.0,10,7.148632662370801,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
321,dp-means++,0.0630957344480193,7,1000,13,10.0,1.0,10,7.141814775764942,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
322,dp-means++,0.12589254117941676,7,1000,13,10.0,1.0,10,7.139434918761253,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
323,dp-means++,0.25118864315095796,7,1000,13,10.0,1.0,10,7.140234196558595,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
324,dp-means++,0.501187233627272,7,1000,13,10.0,1.0,10,7.144945094361901,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
325,dp-means++,1.0,7,1000,13,10.0,1.0,10,7.140929847955704,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
326,dp-means++,1.9952623149688788,7,1000,13,10.0,1.0,10,7.180639700964093,2,999,999,7800.9805349826565,0.9006326326326326,3.628955744625146e-05,0.000541944506241658,0.4998559408180752
327,dp-means++,3.981071705534969,7,1000,13,10.0,1.0,10,5.453467922285199,3,845,845,8346.290158482912,0.901005005005005,0.006765832407906515,0.08566370795047638,0.5126073951668981
328,dp-means++,7.943282347242813,7,1000,13,10.0,1.0,10,0.4285703133791685,6,23,23,19747.377872155434,0.9634174174174174,0.7555914350284695,0.8774580380946149,0.8825675984499446
329,dp-means++,15.848931924611142,7,1000,13,10.0,1.0,10,0.22148208506405354,3,7,7,44353.575053564084,0.8844904904904904,0.5721773433797473,0.8522752776868583,0.8542785761484158
330,dp-means++,31.622776601683793,7,1000,13,10.0,1.0,10,0.1521315723657608,2,1,1,143945.48525023,0.09936936936936937,0.0,-7.719133345168211e-17,0.0
331,dp-means++,63.0957344480193,7,1000,13,10.0,1.0,10,0.15287918597459793,2,1,1,143945.48525023,0.09936936936936937,0.0,-7.719133345168211e-17,0.0
332,dp-means++,125.89254117941663,7,1000,13,10.0,1.0,10,0.15298618376255035,2,1,1,143945.48525023,0.09936936936936937,0.0,-7.719133345168211e-17,0.0
333,dp-means++,251.18864315095772,7,1000,13,10.0,1.0,10,0.1528535559773445,2,1,1,143945.48525023,0.09936936936936937,0.0,-7.719133345168211e-17,0.0
334,dp-means++,501.18723362727246,7,1000,13,10.0,1.0,10,0.15286733396351337,2,1,1,143945.48525023,0.09936936936936937,0.0,-7.719133345168211e-17,0.0
335,dp-means++,1000.0,7,1000,13,10.0,1.0,10,0.152869937941432,2,1,1,143945.48525023,0.09936936936936937,0.0,-7.719133345168211e-17,0.0
336,dp-means,0.001,8,1000,13,10.0,1.0,10,0.3952394761145115,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
337,dp-means,0.001995262314968879,8,1000,13,10.0,1.0,10,0.3920834604650736,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
338,dp-means,0.003981071705534973,8,1000,13,10.0,1.0,10,0.3909082245081663,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
339,dp-means,0.007943282347242814,8,1000,13,10.0,1.0,10,0.391536271199584,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
340,dp-means,0.015848931924611134,8,1000,13,10.0,1.0,10,0.388477586209774,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
341,dp-means,0.03162277660168379,8,1000,13,10.0,1.0,10,0.38946447148919106,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
342,dp-means,0.0630957344480193,8,1000,13,10.0,1.0,10,0.3906996585428715,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
343,dp-means,0.12589254117941676,8,1000,13,10.0,1.0,10,0.39293793216347694,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
344,dp-means,0.25118864315095796,8,1000,13,10.0,1.0,10,0.3933115042746067,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
345,dp-means,0.501187233627272,8,1000,13,10.0,1.0,10,0.3904149439185858,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
346,dp-means,1.0,8,1000,13,10.0,1.0,10,0.39118659123778343,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
347,dp-means,1.9952623149688788,8,1000,13,10.0,1.0,10,0.3871710430830717,2,992,992,11784.38962102231,0.900054054054054,0.0003244074482214812,0.0044925353786159075,0.49990278726464593
348,dp-means,3.981071705534969,8,1000,13,10.0,1.0,10,0.5246745869517326,5,294,294,16100.01490638459,0.905951951951952,0.1017131580009814,0.45370923960692866,0.603664424976211
349,dp-means,7.943282347242813,8,1000,13,10.0,1.0,10,0.35460262931883335,5,11,11,25468.124625294564,0.996986986986987,0.9830283109648202,0.9882258867334527,0.9884611259680955
350,dp-means,15.848931924611142,8,1000,13,10.0,1.0,10,1.0983404088765383,19,8,8,45995.738933199,0.9454394394394394,0.7431062455962443,0.8728606931296699,0.8747498367249196
351,dp-means,31.622776601683793,8,1000,13,10.0,1.0,10,0.14345116913318634,2,1,1,161088.6401343827,0.09996396396396397,0.0,4.019399987624044e-17,0.0
352,dp-means,63.0957344480193,8,1000,13,10.0,1.0,10,0.19302217103540897,2,1,1,161088.6401343827,0.09996396396396397,0.0,4.019399987624044e-17,0.0
353,dp-means,125.89254117941663,8,1000,13,10.0,1.0,10,0.19258126989006996,2,1,1,161088.6401343827,0.09996396396396397,0.0,4.019399987624044e-17,0.0
354,dp-means,251.18864315095772,8,1000,13,10.0,1.0,10,0.19211543910205364,2,1,1,161088.6401343827,0.09996396396396397,0.0,4.019399987624044e-17,0.0
355,dp-means,501.18723362727246,8,1000,13,10.0,1.0,10,0.1914401315152645,2,1,1,161088.6401343827,0.09996396396396397,0.0,4.019399987624044e-17,0.0
356,dp-means,1000.0,8,1000,13,10.0,1.0,10,0.1913935150951147,2,1,1,161088.6401343827,0.09996396396396397,0.0,4.019399987624044e-17,0.0
357,dp-means++,0.001,8,1000,13,10.0,1.0,10,7.163262037560344,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
358,dp-means++,0.001995262314968879,8,1000,13,10.0,1.0,10,7.16272671148181,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
359,dp-means++,0.003981071705534973,8,1000,13,10.0,1.0,10,7.161716258153319,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
360,dp-means++,0.007943282347242814,8,1000,13,10.0,1.0,10,7.162419691681862,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
361,dp-means++,0.015848931924611134,8,1000,13,10.0,1.0,10,7.172553950920701,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
362,dp-means++,0.03162277660168379,8,1000,13,10.0,1.0,10,7.162179283797741,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
363,dp-means++,0.0630957344480193,8,1000,13,10.0,1.0,10,7.164049604907632,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
364,dp-means++,0.12589254117941676,8,1000,13,10.0,1.0,10,7.164068004116416,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
365,dp-means++,0.25118864315095796,8,1000,13,10.0,1.0,10,7.144944187253714,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
366,dp-means++,0.501187233627272,8,1000,13,10.0,1.0,10,7.151136929169297,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
367,dp-means++,1.0,8,1000,13,10.0,1.0,10,7.146222949028015,2,1000,1000,11778.59898376274,0.900036036036036,0.0,1.160310486436567e-12,0.49927213851096713
368,dp-means++,1.9952623149688788,8,1000,13,10.0,1.0,10,7.1435152515769005,2,999,999,11778.59898376274,0.9000380380380381,3.604989244492361e-05,0.0005412203487669158,0.49934733424425365
369,dp-means++,3.981071705534969,8,1000,13,10.0,1.0,10,6.106923831626773,2,916,916,12037.673559046656,0.9002202202202202,0.003311761256170609,0.045817077934777926,0.5058913091543163
370,dp-means++,7.943282347242813,8,1000,13,10.0,1.0,10,0.6644062288105488,9,46,46,22684.887544184447,0.9343743743743744,0.4850351997260106,0.7661464774904163,0.7841906862698937
371,dp-means++,15.848931924611142,8,1000,13,10.0,1.0,10,0.6123027540743351,10,8,8,43786.12022360171,0.9496356356356357,0.7628672549047653,0.895998790850795,0.8975444721151125
372,dp-means++,31.622776601683793,8,1000,13,10.0,1.0,10,0.15329650044441223,2,1,1,161088.6401343827,0.09996396396396397,0.0,4.019399987624044e-17,0.0
373,dp-means++,63.0957344480193,8,1000,13,10.0,1.0,10,0.15355859510600567,2,1,1,161088.6401343827,0.09996396396396397,0.0,4.019399987624044e-17,0.0
374,dp-means++,125.89254117941663,8,1000,13,10.0,1.0,10,0.15282050520181656,2,1,1,161088.6401343827,0.09996396396396397,0.0,4.019399987624044e-17,0.0
375,dp-means++,251.18864315095772,8,1000,13,10.0,1.0,10,0.15281034260988235,2,1,1,161088.6401343827,0.09996396396396397,0.0,4.019399987624044e-17,0.0
376,dp-means++,501.18723362727246,8,1000,13,10.0,1.0,10,0.15343686752021313,2,1,1,161088.6401343827,0.09996396396396397,0.0,4.019399987624044e-17,0.0
377,dp-means++,1000.0,8,1000,13,10.0,1.0,10,0.15439992770552635,2,1,1,161088.6401343827,0.09996396396396397,0.0,4.019399987624044e-17,0.0
378,dp-means,0.001,9,1000,13,10.0,1.0,10,0.3945949114859104,2,1000,1000,10867.082879834321,0.8998778778778779,0.0,1.1778643287435853e-12,0.4991620222395998
379,dp-means,0.001995262314968879,9,1000,13,10.0,1.0,10,0.3924503028392792,2,1000,1000,10867.082879834321,0.8998778778778779,0.0,1.1778643287435853e-12,0.4991620222395998
380,dp-means,0.003981071705534973,9,1000,13,10.0,1.0,10,0.39422525465488434,2,1000,1000,10867.082879834321,0.8998778778778779,0.0,1.1778643287435853e-12,0.4991620222395998
381,dp-means,0.007943282347242814,9,1000,13,10.0,1.0,10,0.392510823905468,2,1000,1000,10867.082879834321,0.8998778778778779,0.0,1.1778643287435853e-12,0.4991620222395998
382,dp-means,0.015848931924611134,9,1000,13,10.0,1.0,10,0.39215757697820663,2,1000,1000,10867.082879834321,0.8998778778778779,0.0,1.1778643287435853e-12,0.4991620222395998
383,dp-means,0.03162277660168379,9,1000,13,10.0,1.0,10,0.39262500777840614,2,1000,1000,10867.082879834321,0.8998778778778779,0.0,1.1778643287435853e-12,0.4991620222395998
384,dp-means,0.0630957344480193,9,1000,13,10.0,1.0,10,0.3929290119558573,2,1000,1000,10867.082879834321,0.8998778778778779,0.0,1.1778643287435853e-12,0.4991620222395998
385,dp-means,0.12589254117941676,9,1000,13,10.0,1.0,10,0.3940231651067734,2,1000,1000,10867.082879834321,0.8998778778778779,0.0,1.1778643287435853e-12,0.4991620222395998
386,dp-means,0.25118864315095796,9,1000,13,10.0,1.0,10,0.39333816058933735,2,1000,1000,10867.082879834321,0.8998778778778779,0.0,1.1778643287435853e-12,0.4991620222395998
387,dp-means,0.501187233627272,9,1000,13,10.0,1.0,10,0.395442808046937,2,1000,1000,10867.082879834321,0.8998778778778779,0.0,1.1778643287435853e-12,0.4991620222395998
